Rxn name	Formula	Gene-reaction association	LB	UB	Objective
Tc2aC01530_c	C01530_c  <=> C01530_a 		-50.00	 50.00	  0.00
Tc2aC06424_c	C06424_c  <=> C06424_a 		-50.00	 50.00	  0.00
Tc2mC00445_c	C00445_c  <=> C00445_m 		-50.00	 50.00	  0.00
Tc2rC00288_c	C00288_c  <=> C00288_r 		-50.00	 50.00	  0.00
Tc2rC00712_c	C00712_c  <=> C00712_r 		-50.00	 50.00	  0.00
Tc2aC00235_c	C00235_c  <=> C00235_a 		-50.00	 50.00	  0.00
Tc2rC00162_c	C00162_c  <=> C00162_r 		-50.00	 50.00	  0.00
R01220_c	C00006_c + C00143_c  <=> C00005_c + C00445_c 		-50.00	 50.00	  0.00
R00847_c	C00002_c + C00116_c  <=> C00008_c + C00093_c 	PBANKA_1364300	-50.00	 50.00	  0.00
R00842_c	C00003_c + C00093_c  <=> C00004_c + C00080_c + C00111_c 	PBANKA_0932900 or PBANKA_1431900	-50.00	 50.00	  0.00
R00137_c	C00002_c + C00455_c  -> C00003_c + C00013_c 	PBANKA_1342800	  0.00	 50.00	  0.00
R01397&R01993_c	C00049_c + C00169_c  <=> C00001_c + C00009_c + C00080_c + C00337_c 	PBANKA_1357700 and PBANKA_1336100	-50.00	 50.00	  0.00
R02057&R02038_r	C00641_r + C00063_r + C00346_r  <=> C00055_r + C00080_r + C00350_r + C00013_r 	PBANKA_1127000 and PBANKA_1360500	-50.00	 50.00	  0.00
R00408_m	C00016_m + C00042_m  <=> C00122_m + C01352_m 	putative_PBANKA_0109400	-50.00	 50.00	  0.00
R01271_c	C00013_c + C00455_c  <=> C00080_c + C00119_c + C00153_c 	PBANKA_1127700	-50.00	 50.00	  0.00
R00617_c	C00002_c + C01081_c  -> C00008_c + C00068_c 		  0.00	 50.00	  0.00
R02133_c	C00001_c + C00378_c  <=> C00080_c + C01279_c + C04294_c 		-50.00	 50.00	  0.00
R03223_c	C00080_c + C04327_c + C04752_c  <=> C00013_c + C01081_c 		-50.00	 50.00	  0.00
R03471_c	C00002_c + C01279_c  -> C00008_c + C04556_c 		  0.00	 50.00	  0.00
R04448_c	C00002_c + C04294_c  -> C00008_c + C04327_c 		  0.00	 50.00	  0.00
R04509_c	C00002_c + C04556_c  -> C00008_c + C04752_c 		  0.00	 50.00	  0.00
R01868Men_c	C00337_c + C00828_m  -> C00295_c + MQH24_m 	PBANKA_0102100	  0.00	 50.00	  0.00
R02163Men_m	C00004_m + C00080_m + C00828_m + 4Fe4S_m  <=> C00003_m + 2 C14818_m + MQH24_m + 2Fe2S_m 	putative_PBANKA_0816000	-50.00	 50.00	  0.00
R02164Men_m	C00042_m + C00828_m  <=> C00122_m + MQH24_m 	PBANKA_0518200 and PBANKA_1428800	-50.00	 50.00	  0.00
Tc2eC01279_c	C01279_c  <=> C01279_e 		-50.00	 50.00	  0.00
Tc2eC04294_c	C04294_c  <=> C04294_e 		-50.00	 50.00	  0.00
R05969_r	C00110_r + C00043_r  <=> C04500_r + C00105_r 	PBANKA_1217300	-50.00	 50.00	  0.00
R05976_r	C03021_r + G00008_r  <=> C00621_r + G00009_r 	PBANKA_0931400	-50.00	 50.00	  0.00
Tc2rC00096_c	C00096_c + C00144_r  <=> C00144_c + C00096_r 	putative_PBANKA_0308800	-50.00	 50.00	  0.00
Tc2rC00043_c	C00043_c + C00105_r  <=> C00105_c + C00043_r 		-50.00	 50.00	  0.00
Tc2rC00029_c	C00029_c + C00105_r  <=> C00105_c + C00029_r 	putative_PBANKA_0934300	-50.00	 50.00	  0.00
Tc2rC00325_c	C00325_c + C00144_r  <=> C00144_c + C00325_r 	putative_PBANKA_0308800	-50.00	 50.00	  0.00
Tc2rC00093_c	C00093_c  <=> C00093_r 		-50.00	 50.00	  0.00
R02029_r	C00001_r + C03892_r  -> C00009_r + C00344_r 		  0.00	 50.00	  0.00
Tc2rC00344_c	C00344_c  <=> C00344_r 		-50.00	  0.00	  0.00
R01004_r	C00001_r + C00621_r  -> C00110_r + C00009_r 		  0.00	 50.00	  0.00
R08375_r	C05859_r  -> C00621_r 		  0.00	 50.00	  0.00
R05556_r	C00129_r + C00448_r  <=> C00013_r + C05859_r 		-50.00	 50.00	  0.00
Tc2rC00448_c	C00448_c + C00009_r  <=> C00009_c + C00448_r 		-50.00	 50.00	  0.00
Tc2rC00129_c	C00129_c + C00009_r  <=> C00009_c + C00129_r 		-50.00	 50.00	  0.00
LumpGlycan1_r	5 C00096_r + 4 C03862_r + C04537_r + 3 C00029_r  -> 5 C00035_r + 4 C00110_r + 3 C00015_r + G00008_r 		  0.00	 50.00	  0.00
R05920_r	C00350_r + G00146_r  <=> C00641_r + G00147_r 		-50.00	 50.00	  0.00
R07129_r	C03862_r + G00149_r  <=> C00110_r + G00140_r 		-50.00	 50.00	  0.00
Tc2rC03021_c	C03021_c  <=> C03021_r 		-50.00	 50.00	  0.00
Tc2rC02189_c	C02189_c  <=> C02189_r 		-50.00	 50.00	  0.00
pser_c	C00001_c + 2 C00044_c + C02553_c + Protein_c  -> 2 C00009_c + 2 C00035_c + C01650_c + C02189_c 		  0.00	 50.00	  0.00
pasp_c	C00001_c + 2 C00044_c + C03402_c + Protein_c  -> 2 C00009_c + 2 C00035_c + C01637_c + C03021_c 		  0.00	 50.00	  0.00
pcys_c	C00001_c + 2 C00044_c + C03125_c + Protein_c  -> 2 C00009_c + 2 C00035_c + C01639_c + C20119_c 		  0.00	 50.00	  0.00
